"acousticness","danceability","duration_ms","energy","explicit","instrumentalness","key","liveness","loudness","mode","popularity","release_date","speechiness","tempo","valence","year","season","pop_binary","pop_binom"
0.000413,0.293,156.423,0.806,"0",1.45e-06,"7",0.156,-5.68,"1",8,2021-01-08,0.103,88.083,0.319,"2021","Winter",0,8
0.988,0.599,154.366,0.00727,"0",0.596,"9",0.093,-20.615,"0",0,2021-01-09,0.122,75.786,0.0961,"2021","Winter",0,0
0.448,0.669,91.193,0.243,"0",0,"8",0.061,-15.027,"1",14,2020-12-22,0.152,158.015,0.523,"2020","Winter",0,14
0.95,0.361,202.168,0.0929,"0",0.797,"1",0.106,-15,"0",5,2021-01-13,0.037,79.678,0.0989,"2021","Winter",0,5
0.984,0.729,108.019,0.044,"0",0.94,"0",0.086,-19.924,"1",4,2021-01-10,0.0773,80.119,0.13,"2021","Winter",0,4
0.987,0.698,140.713,0.0185,"0",0.731,"9",0.128,-20.196,"0",1,2021-01-09,0.25,114.241,0.112,"2021","Winter",0,1
0.964,0.765,195.717,0.0145,"0",0.931,"5",0.0915,-13.783,"0",0,2021-01-23,0.0754,77.934,0.493,"2021","Winter",0,0
0.978,0.695,125.574,0.0133,"0",0.949,"5",0.0929,-19.491,"1",0,2021-01-09,0.104,73.785,0.0673,"2021","Winter",0,0
0.989,0.638,131.704,0.0175,"0",0.92,"2",0.0794,-19.91,"0",0,2021-01-09,0.198,97.189,0.0417,"2021","Winter",0,0
0.99,0.575,125.295,0.0181,"0",0.912,"10",0.101,-20.763,"1",0,2021-01-09,0.0975,207.722,0.0558,"2021","Winter",0,0
0.977,0.831,135.047,0.0194,"0",0.922,"3",0.0872,-20.06,"1",0,2021-01-09,0.181,128.157,0.0521,"2021","Winter",0,0
0.988,0.583,136.069,0.0186,"0",0.953,"5",0.124,-20.55,"0",0,2021-01-09,0.282,199.041,0.0633,"2021","Winter",0,0
0.0188,0.74,280.004,0.942,"0",0.798,"5",0.0729,-4.737,"0",0,2021-01-15,0.046,123.992,0.737,"2021","Winter",0,0
0.00173,0.792,284.262,0.91,"0",0.712,"8",0.106,-5.528,"1",0,2021-01-15,0.0967,122.007,0.921,"2021","Winter",0,0
0.000213,0.534,247.747,0.967,"0",0.769,"2",0.125,-4.784,"0",0,2021-01-15,0.0387,123.964,0.273,"2021","Winter",0,0
0.000112,0.804,345.6,0.967,"0",0.87,"4",0.0864,-6.508,"0",0,2021-01-15,0.0497,124.995,0.79,"2021","Winter",0,0
0.000319,0.737,340.32,0.993,"0",0.811,"5",0.0497,-5.001,"0",0,2021-01-15,0.0579,124.997,0.286,"2021","Winter",0,0
0.278,0.532,174.685,0.614,"0",0.763,"3",0.172,-15.405,"1",4,2021-01-13,0.0273,135.432,0.851,"2021","Winter",0,4
0.97,0.127,201.229,0.484,"0",0.514,"10",0.539,-23.099,"0",4,2021-01-13,0.0778,71.173,0.0254,"2021","Winter",0,4
0.959,0.217,233.129,0.18,"0",0.816,"5",0.101,-16.464,"1",5,2021-01-13,0.0387,64.91,0.0385,"2021","Winter",0,5
0.974,0.0898,189.352,0.199,"0",0.938,"7",0.237,-15.802,"1",5,2021-01-13,0.0407,79.823,0.073,"2021","Winter",0,5
0.981,0.805,192.632,0.0552,"0",0.872,"5",0.119,-13.175,"1",4,2021-01-13,0.156,80.051,0.543,"2021","Winter",0,4
0.64,0.24,192.5,0.216,"0",0.772,"6",0.134,-9.726,"1",4,2021-01-13,0.0507,69.802,0.262,"2021","Winter",0,4
0.987,0.757,194.462,0.0447,"0",0.926,"11",0.079,-15.27,"0",5,2021-01-13,0.139,80.047,0.358,"2021","Winter",0,5
0.941,0.73,217.6,0.124,"0",0.894,"7",0.0643,-11.69,"0",4,2021-01-13,0.137,75.037,0.642,"2021","Winter",0,4
0.92,0.69,212.488,0.143,"0",0.906,"10",0.0757,-11.957,"1",4,2021-01-13,0.125,81.992,0.501,"2021","Winter",0,4
0.893,0.389,192.5,0.00632,"0",0.897,"6",0.111,-12.688,"1",4,2021-01-13,0.0402,80.211,0.0735,"2021","Winter",0,4
